OTUID	Mean	R10P10A07	R10P10A10	R10P10B03	R10P10B04	R10P10B10	R10P10B12	R10P10C03	R10P10C04	R10P10C05	R10P10C07	R10P10C10	R10P10C11	R10P10D02	R10P10D04	R10P10D05	R10P10D09	R10P10D10	R10P10E09	R10P10E10	R10P10E11	R10P10F10	R10P10F11	R10P10FO2	R10P10G10	R10P10H01	R10P10H02	R10P10H04	R10P10H09	R11P11A11	R11P11B10	R11P11C07	R11P11C10	R11P11C11	R11P11D02	R11P11E11	R12P12A02	R12P12A04	R12P12A05	R12P12A06	R12P12A08	R12P12A10	R12P12A11	R12P12A12	R12P12B03	R12P12B04	R12P12B12	R12P12BO1	R12P12C01	R12P12C03	R12P12C04	R12P12C05	R12P12C07	R12P12C10	R12P12C11	R12P12D01	R12P12D02	R12P12D03	R12P12D04	R12P12D07	R12P12D09	R12P12D10	R12P12E01	R12P12E03	R12P12E04	R12P12E07	R12P12E08	R12P12E09	R12P12E10	R12P12E12	R12P12F04	R12P12F09	R12P12F10	R12P12FO2	R12P12G02	R12P12G03	R12P12G04	R12P12G06	R12P12G07	R12P12G10	R12P12H02	R12P12H03	R12P12H04	R12P12H06	R12P12H09	R12P12H10	R12P12H11	R13P13A04	R13P13B10	R13P13B11	R13P13C04	R13P13C07	R13P13C10	R13P13C11	R13P13D04	R13P13D09	R13P13D10	R13P13E09	R13P13E10	R13P13F04	R13P13F10	R13P13FO2	R13P13G02	R13P13G06	R13P13G09	R13P13G10	R13P13H01	R13P13H06	R13P13H09	R13P13H10	R14P14B04	R14P14C03	R14P14C04	R14P14C07	R14P14D04	R14P14G10	R15P15A03	R15P15A07	R15P15B04	R15P15C01	R15P15C04	R15P15C07	R15P15C10	R15P15D02	R15P15D03	R15P15D04	R15P15D07	R15P15D09	R15P15E01	R15P15E04	R15P15E09	R15P15E10	R15P15F04	R15P15F10	R15P15H04	R15P15H06	R15P15H10	R16P16A04	R16P16A07	R16P16B03	R16P16C04	R16P16C05	R16P16C07	R16P16D02	R16P16D03	R16P16D07	R16P16E01	R16P16F04	R16P16H03	R1P1A04	R1P1A05	R1P1D01	R1P1E01	R1P1E04	R1P1F04	R1P1G02	R1P1G04	R1P1G06	R1P1H04	R2P2G02	R3P3C01	R3P3D10	R3P3H01	R5P5C11	R6P6B10	R6P6B12	R6P6D04	R6P6E11	R6P6G07	R6P6G10	R7P7A05	R7P7A11	R7P7B12	R7P7D09	R7P7E01	R7P7F10	R7P7G10	R7P7H06	R8P8A04	R8P8A11	R8P8B04	R8P8B10	R8P8C04	R8P8C07	R8P8C08	R8P8C10	R8P8C11	R8P8D07	R8P8D10	R8P8D11	R8P8E01	R8P8E07	R8P8E08	R8P8E10	R8P8E11	R8P8F03	R8P8F04	R8P8F08	R8P8F09	R8P8F10	R8P8G02	R8P8G06	R8P8G10	R8P8H01	R8P8H02	R8P8H04	R8P8H06	R8P8H07	R9P9A04	R9P9A10	R9P9A11	R9P9B03	R9P9B04	R9P9B11	R9P9C01	R9P9C03	R9P9C07	R9P9C10	R9P9C11	R9P9D07	R9P9E10	R9P9E11	R9P9F10
ASV_20	0.00674711997672823	0	0	0	0.1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9641	0	0	1.1869	0.4107	0.3306	0.1957	0	0	0	0	92.471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	0.00638420456567357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.3368	5.4825	0.3759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0.00611166497682708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.759	0	0	0.2053	0.3306	0.5871	93.3416	0.1595	0	0	0.3861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	0.0059026708879707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9447	0	0	0	0	0	0.1499	0	0	0	0	0	0	0	0	0	0	0	0.0963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318	0.198	0	88.9961	0	0	0	0	0	0	0	0	0	0	0.4684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3401	0	0	0	0	0	0	0	0	0	0	0	0	0.3759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_57	0.00578264049910048	0	3.3037	2.621	0.4329	0.5714	0	1.978	1.4012	2.4691	0.0976	1.7241	1.3761	0.3442	0.8706	0	0.4431	0	0	0.1534	0.1175	0	0	1.9608	0.216	2.6408	0.2004	0.1508	4.2789	0	0	0	0.1698	0.224	0	0.2075	0.6349	1.3667	0.1988	1.9231	0	0	0.2041	0.2342	0.4886	0.1036	0.2058	0	0.1242	0.315	0.085	0.1972	0.3567	0	0.1101	0	0.0965	0	1.6194	0.1468	0.2278	0.087	1.0118	0	0	0	0	0	0	0	0	0	0.0925	0.2035	0.2018	0.4024	0	0.4622	0	0	0.2845	0	0	0	0.2639	0.1083	0	0.4057	0	0	0.2203	0.1792	0	0	0	0	0	0	0	0	0	0.189	0.404	0	0.2326	0	0.3546	0	0.6289	0.6579	0.1919	0	0	0	0.1931	0.2004	0.2188	0	0.4464	0.2	0	0	0	0	0	0	0	0.4357	0.1437	0.2525	0.2232	0	0.1534	0.2262	0.1508	0.1789	0.1859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2247	0	0.1742	0	0	0	0	5.2033	0	0	5.3763	0	0	0.2193	0	3.2258	0	0	0	0	0	0.4175	0	0.5825	0	0.5312	0.8237	0.1368	0.0606	0	0.4107	0.1112	0.314	0	0	0.2215	0	0	1.7635	0.3929	0	0.3676	0.2058	0	0	0	0	0	0.6356	0.2083	0	0.1931	2.549	0.6711	0	0.198	0	0.1667	0.883	2.994	0.4246	1.3793	3.1111	4.1071	0.3717	0	0	0	0	1.2766	4.5952
ASV_8	0.00575439805466043	0.1637	0	0.2016	0	74.0952	1.1364	0	0	0	0	13.1034	0	0	0.1244	0	0.4431	0	0	0.1534	0	0	0	0.3268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0.00534064624361368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2028	0	0	0	0	0	0	0.2294	0	0	0	0	0	0	0	0.8081	0	0	0	81.0284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	0.00528839772139958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.0933	0	0.2336	0.2203	0	0	0	1.8349	0	0	0.1314	0	0	0	0	0	0	0	0	0	0	0	0.2193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9452	0	0	0.1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3295	0	0.0606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2494	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0.00465859121038644	0	0	0	0	0	0	0	0.1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2278	0	0	0	0	0	0	0	0	0.4115	0	0	0	67.7995	0	0	0	0	0	0	0	0.6748	0.1468	0.2278	0.2609	0	0	0	0	0	0	0	0	0.2101	0	0.0925	0	0	0.4024	0.0963	0.1541	0	0	0	0	0	0	0.1319	0	0	0	0	0	0.6608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1881	0	0	0	0	0	0	0	0.1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1247	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_56	0.00447501532152611	0	2.7954	1.8145	0.2886	0.3175	0.2273	2.4176	1.3274	2.2928	0.0976	0.2299	2.7523	0	0.8706	0.1984	0.2954	0	0.1692	0.1534	0.1175	0.2865	0.1828	2.1242	0.216	3.8732	0.6012	0	3.0111	0.1122	0	0	0	0	0	0	0.6349	3.1891	0.1988	1.4423	0	0.2797	0	0	0.1629	0.2073	0	0	0.1242	0.1575	0	0	0	0	0	0.4073	0.0965	0	0.6748	0	0	0	0	0	0	0.1087	0.5146	0	0	0	0.105	0.6061	0	0	0.2018	0	0.0963	0.3082	0	0	0	0	0	0.3145	0	0	0	0	0	0	0.2203	0	0.1471	0	0	0	0	0	0	0	0	0	0.202	0	0	0	0.1773	0.2105	0.1258	1.9737	0	0	0	0	0.1931	0	0	0	0.2232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5576	0	0	0.2088	0	0	0	0	0	0	0.1927	0	0	0	0	0	0	0	0	0	0	0	0	4.878	0.2342	0	3.871	0.1524	0.149	0	0.188	0	0	0.2041	0.1344	0.9524	0.4167	0	0.6186	0.3883	0.1894	0.1328	0.659	0	0.0606	0	1.0267	0.8899	0.314	0	0	0.1107	0	0	0.9336	1.3752	0	0.1838	0.2058	0	0	0	0.1151	0.303	0	0	0	0	0.1961	0.1678	0	0.396	0	0.3333	0.4415	1.1976	0.4246	0.4598	1.3333	0.3571	0.1859	0	0	0.2041	0.1529	1.4894	3.2823
ASV_11	0.00394264524383114	0	0	0	0	0	0	0	0	0	0	0.1149	0	0	0	0	0.7386	0	0	0	0	0	0	0	0	0.1761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1009	0	0	0	0	0	0.1422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2088	0	0.1942	0	0	0.1647	0	0	0.1751	0.4107	0	0.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2083	0	54.2471	3.1373	0.1678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	0.0038084936327409	0	1.6518	1.4113	0.1443	0.5079	0	1.5385	1.6962	1.0582	0.1951	1.7241	1.0703	0	0.4975	0.1984	0.5908	0	0.3384	0	0.1175	0.1433	0	0.6536	0.216	1.2324	0.6012	0	1.5848	0	0	0	0	0.112	0.2193	0	0.3175	0.2278	0.1988	2.4038	0	0	0	0	0.1629	0.1036	0.2058	0	0	0	0.1699	0	0.1189	0	0.1101	0	0	0	0.4049	0	0	0	0	0	0	0.1087	0.3431	0	0.1027	0	0.2101	0.303	0.0925	0	0.2018	0	0	0	0.2203	0.2014	0.1422	0.1193	0	0	0	0.2167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6061	0	0	0	0.3546	0.6316	0.3774	1.3158	0.1919	0	0.198	0	0.1931	0	0.2188	0	1.7857	0	0	0	0	0	0	0.4684	0	0	0.1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1742	0	0	0.4967	0	1.3008	0	0.1152	3.4409	0	0	0	0	3.056	0	0	0	0	0.1389	0	0	0.3883	0	1.1952	0.1647	0.1368	0	0	0.616	0.3337	0.7849	0	0	0.3322	0	0.1845	1.2448	1.1788	1.0778	0	0.4115	0	0.1835	0.1733	0	0.1515	0	0	0	0	0.3922	0.1678	0	0.5941	0	0.1667	0.6623	1.1976	0	0.2299	2.4444	3.75	0	0.1661	0	0	0	1.0638	1.0941
ASV_16	0.00365457231054262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202	0	0	0	0.1773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188	0	0	0	0	0	0	0	0	0	0	0	0.9885	0	0	0	0	0.1112	0	0	0	0.2215	0	0	0	0	0	0	0	0	0	0	0	0.1515	14.6186	0	0	37.5483	2.549	0.3356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	0.00343569336613223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.6111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	0.00335520239947808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2123	0	0	0	0	0	0	0	0	52.1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_78	0.00321540229949983	0	2.4142	1.8145	0.4329	0.254	0.4545	0.6593	0.5162	1.0582	0	1.6092	0.6116	0.1721	0.7463	0.1984	2.3634	0.1969	0.3384	0	0	0	0	1.7974	0	2.1127	0	0	1.1094	0	0	0	0	0	0	0	0.3175	0.9112	0	0.9615	0	0	0	0	0	0.1036	0	0	0	0.4724	0.1699	0	0	0	0	0	0	0.1567	1.0796	0	0	0	0	0	0.1499	0	0	0	0.1027	0	0	0	0.0925	0	0	0	0	0.4622	0	0.3021	0	0	0.1647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2516	0.6579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1138	0	0	3.0108	0	0	0	0	2.0374	0	0	0	0.1587	0.1389	0	0.2062	0.3883	0.5682	0.1328	0.659	0.1368	0.0606	0	1.0267	0.8899	0.471	0	0.1385	0.3322	0.1072	0.1845	0.3112	0.7859	0.3593	0	0.4115	0	0.1835	0	0	0	0	0	0	0	1.3725	0.1678	0	0	0	0.1667	0.4415	0.998	0.2123	0.4598	2.6667	0.8929	0	0.1661	0.3906	0	0	1.4894	1.0941
ASV_73	0.00297534152175939	0.3273	2.7954	1.6129	0.4329	0.381	0.2273	0.2198	1.2537	1.7637	0.0976	0.8046	0.4587	0	0.6219	0.1984	1.1817	0.1969	0	0	0.1175	0.2865	0	0.9804	1.0799	0.5282	0	0	2.0602	0	0	0	0	0	0	0.4149	0.4762	0.4556	0	1.4423	0	0.1399	0	0	0	0.1036	0	0	0	0.4724	0	0	0.2378	0	0.1101	0	0	0	1.6194	0	0	0	0.3373	0.2105	0.1499	0	0	0	0.1027	0	0	0.1515	0.0925	0.1017	0.1009	0	0	1.0786	0	0	0	0	0	0	0.2639	0	0.2299	0	0	0	0	0	0	0	0	0	0	0	0.1553	0	0	0	0.202	0	0	0	0	0	0.1258	2.4123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2247	0	0	0	0	0.3311	0	1.1382	0	0.1152	1.0753	0	0	0	0	0	0	0	0	0.1587	0	0	0.2062	0.1942	0	0	0.4942	0.1368	0	0.1751	1.848	0.5562	0.314	0.3617	0	0.1107	0	0	0.2075	0.9823	0.1198	0.1838	0.2058	0	0	0	0	0	0	0	0	0.0965	0.9804	0	0	0.5941	0.1247	0	0.6623	0.5988	0.2123	0.4598	1.5556	0	0.3717	0.1661	0.1953	0.2041	0.4587	1.4894	0.6565
ASV_82	0.00254464424404861	0	2.033	0.2016	0.2886	0.0635	0	0.8791	0.5162	0.8818	0.1951	1.1494	0.6116	0	0.3731	0	0.5908	0	0.1692	0	0	0.1433	0	0.817	0.432	2.2887	0.4008	0	1.2678	0	0	0	0	0	0	0.2075	0.1587	2.2779	0	0.3205	0	0	0	0	0.3257	0	0	0	0.1242	0.1575	0	0.1972	0	0	0	0	0	0	0.6748	0	0	0	0	0	0.1499	0	0	0	0	0	0.105	0	0	0.1017	0.1009	0	0	0	0	0	0.2845	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4587	0	0	0	0	0	0	0.189	0	0	0	0	0	0.2105	0.5031	0.8772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2123	0	0	0	0	0	0	0.4211	0.1656	0	2.2764	0	0	1.7204	0.3049	0	0	0	0	0	0	0	0.1587	0.1389	0	0	0	0.1894	0.2656	0.659	0.1368	0.1213	0	0.4107	0.1112	0.314	0	0.1385	0	0	0	0.9336	0.1965	0.1198	0	0	0.2174	0.1835	0	0.0575	0	0	0	0.3871	0.0965	0.1961	0.3356	0	0.198	0	0	0	0.1996	0.2123	0.6897	3.7778	0	0	0.3322	0	0.2041	0	0.6383	2.407
ASV_54	0.00242461385517839	0	0	0	0	0	0	0	0	0	0	0	0.1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3175	0	0	0	0	0.1399	0.102	0	0	0	0	0	0	0.1575	0.085	0.1972	0	0	0	0	0	0	0.4049	0	0	0	0	0.2105	0	0.3261	1.8868	0.0887	0	1.1261	0	0	0	0.1017	0	0	0.0963	0	0.4405	0	0.1422	0	0	0	0	0	0	0	0	0.2336	0	0	0	0	0	0	0	0	0	3.9295	0	0	0.202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2273	0.2232	0	0	0	0	0	0.1067	0	0	0	0	0.2525	0	0	0.3067	0.2262	0.7541	0	0	0	0	0	0	0	0.1653	0	0	0	0	0	0	0	0.1748	2.1739	0.4494	0	1.3937	0.381	1.8947	0	0.2227	0	0	1.4977	0	1.372	0	0	0	1.6978	0	0	0	0.3175	0	0	0	0	0	0.2656	0.1647	0	0	0	0.2053	0	0	0.1808	0	0	0.2144	0	0	0	2.2754	0	0.4115	0	0.7339	0.1733	0.3452	3.4848	0	0	0.2581	0.0965	0	0.6711	0.0997	0.198	0	0	0	0	0	0	0.2222	3.75	0.1859	0	0	0	0	0	0
ASV_61	0.00241049263295837	0	1.7789	0.4032	0.4329	0.127	0	0.8791	1.1062	1.5873	0	0.5747	0.9174	0	0.995	0	0.4431	0	0	0.1534	0	0	0	0.817	0.432	1.0563	0.4008	0.1508	1.2678	0	0	0	0	0	0	0.2075	0	1.139	0	1.1218	0.4338	0	0	0.2342	0	0	0	0	0	0	0	0	0	0	0.1101	0	0.1931	0	0.5398	0	0	0	0	0	0	0	0	0	0	0	0	0.303	0	0.1017	0	0	0	0.6163	0	0.1007	0.1422	0	0	0	0.1319	0	0.4598	0	0	0	0	0	0.1471	0	0	0	0	0.1314	0.1553	0	0	0.189	0	0	0.2326	0	0	0	0.5031	0.8772	0	0	0	0	0	0	0	0.2273	0	0	0.3886	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3017	0.1789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2227	1.626	0.4684	0	2.3656	0	0	0	0	0	0	0	0	0	0	0	0.2062	0.7767	0	0	0.3295	0	0.0606	0	0.8214	0	0.314	0	0	0.2215	0	0	0.5187	0.5894	0	0	0	0	0	0.1733	0	0.1515	0	0	0	0	0.1961	0.3356	0	0.396	0	0	0.6623	0	0.4246	0.6897	0.8889	0.1786	0	0	0	0	0	1.2766	1.3129
ASV_32	0.00228905012186615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.5967	0	0	0	0	0	0	0	0.3871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
